,Type_of_course_Aggregate,Type_of_Fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Passing_0.6_mm_Sieve_(%),Target_Mean_Strength_(Npermm2),Cement_O.P.C_(Kgperm3),WaterCement_Ratio,Water_Content_(Kgperm3),,Additive_Type_&_Dosage_(per100_kg_of_cement),Total_Aggregate_(Kgperm3),Fine_Aggregate_(Kgperm3),Coarse_Aggregate_(Kgperm3),Workability_Slump_(mm),Hardened_Concrete_Desnity_(avg.),7_day_str,28_day_str,Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Passing_0.6mm_Sieve(%),Additive_Type_&_Dos._(per100_Kg_of_cement),Admix_type,Admix_dosage
81,Natural,Natural,40,21.5,38,350,0.5,175,,0,1855,755,1100,100,2386,27.2,32.8,0,0,0,0,,
82,Natural,Natural,40,21.5,38,350,0.5,175,,0,1855,755,1100,100,2385,27.2,0,0,0,0,0,,
83,Natural,Natural,20,48.3,38,360,0.51,185,,Type RX * Dosage 0.75 lit,1835,735,1100,190,2392,31.8,0,0,0,0,0,,
84,Natural,Natural,20,30,38,375,0.51,190,,0,1835,735,1100,145,2404,23.7,0,0,0,0,0,,
85,Natural,Natural,20,30,25,375,0.51,190,,0,1835,735,1100,145,2405,23.7,32.2,0,0,0,0,,
86,Crushed,Natural,40,51.8,38,375,0.52,195,,0,1870,770,1100,175,2443,27.8,0,0,0,0,0,,
87,Natural,Natural,20,31.6,38,330,0.5,165,,consplat RP 364 *dos .8,1905,800,1105,130,2403,33.1,0,0,0,0,0,,
88,Natural,Natural,20,24.2,38,340,0.5,170,,Euro PLAST 8600 Dos. *0.75 lit ,1880,770,1110,125,2454,31.4,39,0,0,0,0,,
89,Natural,Natural,20,24.4,38,340,0.5,170,,Euro PLAST 8600 Dos. *0.75 lit ,1880,770,1110,125,2452,31.4,0,0,0,0,0,,
90,Natural,Natural,20,41,38,350,0.53,185,,0,1845,735,1110,110,2384,26.3,34.1,0,0,0,0,,
91,Crushed,Natural,20,12.8,38,350,0.56,195,,0,1910,800,1110,105,2456,27.6,37.1,0,0,0,0,,
92,Natural,Natural,20,41,38,350,0.53,185,,0,1845,735,1110,110,2384,26.3,0,0,0,0,0,,
93,Crushed,Natural,20,12.8,38,350,0.56,195,,0,1910,800,1110,105,2455,27.6,0,0,0,0,0,,
94,Crushed,Natural,20,24,38,350,0.53,185,,Euro 8600 Dos. *1.0 lit ,1915,805,1110,175,2453,34.3,44.8,0,0,0,0,,
95,Crushed,Natural,20,24,38,350,0.53,185,,Euro 8600 Dos. *1.0 lit ,1915,805,1110,220,2405,34.3,0,0,0,0,0,,
96,Natural,Natural,40,0,38,350,0.48,168,,0,1862,745,1110,70,2395,24.7,0,0,0,0,0,,
97,Natural,Natural,20,27.3,38,310,0.51,160,,Sp 432 0.9 lit ,1920,805,1115,120,2407,27.3,0,0,0,0,0,,
98,Natural,Natural,20,27.3,38,310,0.51,160,,Sp 432 0.9 lit ,1920,805,1115,120,2406,27.3,39,0,0,0,0,,
99,Natural,Natural,20,48.3,38,350,0.5,175,,Type RX * Dosage 0.5 lit,1855,740,1115,80,2386,27.6,37,0,0,0,0,,
100,Natural,Natural,20,48.3,38,350,0.5,175,,0,1855,740,1115,80,2387,27.6,0,0,0,0,0,,
101,Crushed,Natural,20,26.9,38,350,0.54,190,,Sp 432 0.9 lit ,1920,805,1115,135,2463,26.7,0,0,0,0,0,,
102,Natural,Natural,40,46.4,38,350,0.5,175,,Euro 8600 Dos. *0.5 lit ,1855,740,1115,130,2389,32.4,42.3,0,0,0,0,,
103,Natural,Natural,40,46.4,38,350,0.5,175,,Euro 8600 Dos. *0.5 lit ,1855,740,1115,130,2388,32.4,0,0,0,0,0,,
104,Natural,Natural,40,46.8,38,350,0.5,175,,Euro 8600 Dos. *0.5 lit ,1855,740,1115,130,2388,32.4,0,0,0,0,0,,
105,Natural,Natural,40,0,38,350,0.48,168,,0,1862,745,1117,70,2390,24.7,31.2,0,0,0,0,,
106,Crushed,Natural,20,42.5,38,350,0.54,190,,Sikament - R2004 * Dos * 1.25 lit,1900,780,1120,145,2445,31.6,38.3,0,0,0,0,,
107,Crushed,Natural,20,42.5,38,350,0.54,190,,Sikament - R 2004 1.25 lit ,1900,780,1120,145,2446,31.6,0,0,0,0,0,,
108,Natural,Natural,40,12.7,38,360,0.49,175,,0,1865,745,1120,120,2404,28,0,0,0,0,0,,
109,Crushed,Natural,20,51.8,38,365,0.53,210,,0,1865,745,1120,120,2430,26.5,38,0,0,0,0,,
110,Crushed,Natural,20,51.8,38,365,0.53,210,,0,1865,745,1120,120,2431,26.5,0,0,0,0,0,,
111,Natural,Natural,40,56.7,38,250,0.5,175,,0,1875,750,1125,130,2404,27.8,0,0,0,0,0,,
112,Natural,Natural,40,50,38,340,0.5,170,,type SP 801 dos 1 lit,1890,665,1125,190,2408,32.4,0,0,0,0,0,,
113,Natural,Natural,40,56.3,38,350,0.5,175,,0,1875,750,1125,130,2405,27.8,37.1,0,0,0,0,,
114,Natural,Natural,40,56.3,38,350,0.5,175,,0,1875,750,1125,130,2404,27.8,0,0,0,0,0,,
115,Natural,Natural,40,30,38,350,0.5,175,,Type JY -4Pump -Aiding * Dos 1.25%,1875,750,1125,210,2404,27.5,0,0,0,0,0,,
116,Natural,Natural,40,30,38,350,0.5,175,,Type JY -4Pump -Aiding * Dos 1.25%,1875,750,1125,210,2405,27.5,36.1,0,0,0,0,,
117,Natural,Natural,40,15.9,38,350,0.5,175,,0,1875,750,1125,150,2405,24.1,33.5,0,0,0,0,,
118,Natural,Natural,40,15.9,38,350,0.5,175,,0,1875,750,1125,150,2402,24.1,0,0,0,0,0,,
119,Crushed,Natural,20,43,48,400,0.46,185,,euro 8600 dos 1 lit,1875,750,1125,150,2460,37.4,41.9,0,0,0,0,,
120,Crushed,Natural,20,45.8,38,350,0.54,190,,0,1910,780,1130,100,2404,20.5,29.7,0,0,0,0,,
121,Natural,Natural,20,45.8,38,350,0.54,190,,0,1910,780,1130,100,2403,20.5,29.7,0,0,0,0,,
122,Crushed,Natural,20,45.8,38,350,0.54,190,,0,1910,780,1130,100,2456,20.5,0,0,0,0,0,,
123,Natural,Natural,20,39,38,350,0.49,170,,0,1880,750,1130,150,2406,33.9,41.8,0,0,0,0,,
124,Natural,Natural,20,39,38,350,0.49,170,,type rehobuild 850 *dos 1 lit,1880,750,1130,150,2402,33.9,0,0,0,0,0,,
125,Crushed,Natural,20,39.6,38,380,0.5,190,,0,1880,750,1130,95,2453,31.5,0,0,0,0,0,,
126,Crushed,Natural,40,39.6,38,380,0.5,190,,0,1880,750,1130,95,2453,31.5,40.6,0,0,0,0,,
127,Natural,Natural,40,37.4,38,325,0.49,160,,0,1915,780,1135,200,2402,25.6,42.5,0,0,0,0,,
128,Natural,Natural,40,37.4,38,325,0.49,160,,0,1915,780,1135,200,2402,25.6,0,0,0,0,0,,
129,Natural,Natural,20,29.8,38,350,0.47,165,,Type SP * Dos. 1.0 lit,1915,780,1135,180,2406,31.2,40.1,0,0,0,0,,
130,Natural,Natural,20,29.8,38,350,0.47,165,,Type SP 432 * Dos. 1.0 lit,1915,780,1135,180,2406,31.2,0,0,0,0,0,,
131,Natural,Natural,40,37.9,38,360,0.51,185,,0,1835,700,1135,140,2486,24.9,35,0,0,0,0,,
132,Natural,Natural,40,37.9,38,360,0.51,185,,0,1835,700,1135,140,2387,24.9,0,0,0,0,0,,
133,Natural,Natural,20,48.7,38,335,0.5,165,,type euro 8600*dos. .75 lit,1900,760,1140,185,2403,24.7,0,0,0,0,0,,
